Variable / Field Name,Form Name,Form Display Name,Section Header (defunct),Allow,multipleChoice,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,version
panic_disorder_title,panic_disorder,Panic Disorder,,,,descriptive,## Panic Disorder,,,,,,,,,,,,,,
cpan0,panic_disorder,Panic Disorder,Symptoms,,,descriptive,### Symptoms\r\n\r\nEarlier you told me that you have had (an anxiety attack/anxiety attacks).  I'd like to ask you more about that/these.,,,,,,,,,,,,,,
dcpan001,panic_disorder,Panic Disorder,,autoAdvance,,radio,"(During the worst times) when you suddenly felt very scared, anxious, or uncomfortable, did you have any physical feelings, like: \r\n\r\n Trouble breathing?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan002,panic_disorder,Panic Disorder,,autoAdvance,,radio,You were suffocating or smothering?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan003,panic_disorder,Panic Disorder,,autoAdvance,,radio,Your heart beating very fast or extra hard?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan004,panic_disorder,Panic Disorder,,autoAdvance,,radio,Your chest hurting or feeling tight?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan005,panic_disorder,Panic Disorder,,autoAdvance,,radio,You were choking?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan006,panic_disorder,Panic Disorder,,autoAdvance,,radio,Your mouth feeling dry?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan007,panic_disorder,Panic Disorder,,autoAdvance,,radio,"Feeling dizzy, light-headed, or like things were spinning?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan008,panic_disorder,Panic Disorder,,autoAdvance,,radio,Feeling like you were going to faint or pass out?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan009,panic_disorder,Panic Disorder,,autoAdvance,,radio,"Feeling like the things around you were not real, like you're in a dream?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan010,panic_disorder,Panic Disorder,,autoAdvance,,radio,"Feeling that you were not real, like you were not really controlling your body or you were watching a movie of yourself?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan011,panic_disorder,Panic Disorder,,autoAdvance,,radio,Your hands or feet tingling or feeling numb?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan012,panic_disorder,Panic Disorder,,autoAdvance,,radio,Sweating or your hands feeling wet?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan013,panic_disorder,Panic Disorder,,autoAdvance,,radio,"A stomachache, nausea, diarrhea, or feeling like you were going to throw up or had to go to the bathroom?","0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan014,panic_disorder,Panic Disorder,,autoAdvance,,radio,Shaking or trembling?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan015,panic_disorder,Panic Disorder,,autoAdvance,,radio,You were afraid you were going crazy?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan016,panic_disorder,Panic Disorder,,autoAdvance,,radio,Losing control?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan017,panic_disorder,Panic Disorder,,autoAdvance,,radio,Feeling very hot?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan018,panic_disorder,Panic Disorder,,autoAdvance,,radio,Feeling very cold?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
dcpan019,panic_disorder,Panic Disorder,,autoAdvance,,radio,You were afraid you were going to die?,"0, No | 1, Yes | 9, Unknown",,,,,,,,,,dcpan001,,,
cpan1,panic_disorder,Panic Disorder,,autoAdvance,,radio,_INTERVIEWER: The participant did not endorse any symtoms. End **Panic Disorder** section._,"1, End Section",,,,,,[dcpan001] = '0' and [dcpan002] = '0' and [dcpan003] = '0' and [dcpan004] = '0' and [dcpan005] = '0' and [dcpan006] = '0' and [dcpan007] = '0' and [dcpan008] = '0' and [dcpan009] = '0' and [dcpan010] = '0' and [dcpan011] = '0' and [dcpan012] = '0' and [dcpan013] = '0' and [dcpan014] = '0' and [dcpan015] = '0' and [dcpan016] = '0' and [dcpan017] = '0' and [dcpan018] = '0' and [dcpan019] = '0',,,,,,,
dcpan020,panic_disorder,Panic Disorder,Attack Characteristics,autoAdvance,,radio,"### Attack Characteristics\r\n\r\nDid (list endorsed symptoms) start within the same few minutes, like around the same time?","0, No | 1, Yes | 9, Unknown",,,,,,[cpan1] != 1,,RH,,,,,
